product_name,jumia,kilimall,cheapest,timestamp,jumia_electronics,kilimall_electronics,jumia_phones,canonical_id,match_confidence,match_type,cheapest_source,cheapest_price,source_count,kilimall_phones
"Vision Plus VP8850QV 50"" QLED 4K Smart TV – Netflix/YouTube/Prime Video, Inbuilt Decoder, Dolby Audio, Quantum Dot Display + Free Wall Mount (2YRS WRTY)",35666.0,,jumia,,,,,,,,,,,
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)",16743.0,17999.0,jumia,,,,,,,,,,,
"Vitron HTC3288QS, 32 inch QLED Smart Android TV, QLED Smart TV, Android TV, Q LED - Black (1YR WRTY)",11320.0,12830.0,jumia,,,,,,,,,,,
"Lyons LST5504W 55 inch Dolby Vision 4K Frameless Android 14 Smart TV - WiFi, Netflix, YouTube, Miracast, HDMI, Bluetooth - Black",33579.0,,jumia,,,,,,,,,,,
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS+FREE TV GUARD+BRACKET",24695.0,,jumia,,,,,,,,,,,
"Hisense 43'' Inch Smart FHD Frameless,SMART & DIGITAL LED TELEVISION+BRACKET+GUARD",24890.0,,jumia,,,,,,,,,,,
Vision Plus VP2111SB Immersive Sound 2.1 CH Sound Bar 240W - Black (2 YRs WRTY),8499.0,,jumia,,,,,,,,,,,
Amtec AM-308 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO - Black (1YR WRTY),3929.0,,jumia,,,,,,,,,,,
"AILYONS SB502K 2.1 CH Subwoofer / Sound Bar Multimedia Speaker System, BT/USB/SD/FM - (1YR WRTY)",4899.0,,jumia,,,,,,,,,,,
AILIPU KL-6305AD 3.1CH SPEAKER Woofer Subwoofer Bluetooth Cinema Home theater System Bluetooth Hi-Fi Speaker Speaker System AC/DC Subwoofer Bluetooth USB/SD/FM Woofer (1YR WRTY),3589.0,,jumia,,,,,,,,,,,
"Globalstar GLOBALSTAR 32UK64 , 32INCH Smart Android TV, Netflix, Youtube - Black",11112.0,,jumia,,,,,,,,,,,
"Euroken HS-22LS19T2 19"" Inch Digital LED TV - HD Clear Color, Inbuilt Decoder, HDMI & USB",3999.0,,jumia,,,,,,,,,,,
"Gld 32"" Smart Frameless HD LED Television - Black",13795.0,,jumia,,,,,,,,,,,
"Skyworth 65Q6500H, 65"" 4K QLED Smart Google TV, Black (1YR WRTY)",74999.0,,jumia,,,,,,,,,,,
"K-Elec 55"" 4K Google Smart LED TV | Dolby Atmos Soundbar | Netflix & YouTube | 36-Month Warranty | FREE TV Guard + FREE Wall Mount",41999.0,,jumia,,,,,,,,,,,
Lenovo Thinkplus K30 Portable Bluetooth Wireless Speaker Waterproof USB Outdoor Loudspeaker Music Surround Bass Box Speakers,797.0,,jumia,,,,,,,,,,,
"Bluetooth Speaker 4D Subwoofer Wired Speaker For Laptop,TV",1059.0,,jumia,,,,,,,,,,,
GUIXIA XG88Pro Smart Bluetooth 5.3 Sunglasses Earphones,900.0,,jumia,,,,,,,,,,,
"Indoor Amplified HD Digital TV Antenna, VHF Or UHF Amplifier",896.0,,jumia,,,,,,,,,,,
"LASA LASA 3.5mm Microphone for Smartphones, PC, DSLR Cameras & Camcorders – Plug & Play, Clear Audio, Universal Compatibility",1219.0,,jumia,,,,,,,,,,,
"addigoes Extension Socket With USB, Power Extension Box with Surge Protection, 4 AC Sockets & 4 USB Ports (3 USB + 1 Type-C), USB Extension Socket with Overload Protection, LED Indicator, 2M Extension Cord for Home Office",799.0,,jumia,,,,,,,,,,,
Women Watch Men Smart Watches Sports Fintess Watches,1190.0,,jumia,,,,,,,,,,,
Mini Karaoke Machine With Wireless Microphones,3200.0,,jumia,,,,,,,,,,,
Rashnik TV Wall Mount TV Stand For 14” - 42” - Black,161.0,,jumia,,,,,,,,,,,
LUMINOUS ISTANBUL 2 TV CONSOLE 4FT WITH CABINET,4539.0,,jumia,,,,,,,,,,,
"Skilltech 15"" To 43"" inches Tilting Wall Mount Bracket",445.0,,jumia,,,,,,,,,,,
MK Tv GUARD And 4 Way Extension Cable,850.0,1120.0,jumia,,,,,,,,,,,
Dstv Full kit (1YR WRTY),2250.0,,jumia,,,,,,,,,,,
"Mexico Modern Wooden TV Stand For Up To 55"" TV",3490.0,,jumia,,,,,,,,,,,
Power King Best 4 Way Power Extension With Long Cable - White,299.0,,jumia,,,,,,,,,,,
"ROTATING 14""-55"" TILT ROTATING WALL MOUNT BRACKET",660.0,,jumia,,,,,,,,,,,
Extension Cables 6 Way With 3 USB Ports Multiplug Power Extension Socket Power Cables.,649.0,,jumia,,,,,,,,,,,
"14-43 inches, 17'', 19'', 24'', 32'', 43'' Fixed TV Wall Mount Bracket",249.0,,jumia,,,,,,,,,,,
"TCL 55"" Inch,FRAMELESS,BLUETOOTH,Smart UHD 4K With HDR Google TV+360 BRACKET+TV GUARD",43999.0,,jumia,,,,,,,,,,,
"Hisense 55"" Inch 4K UHD SMART BLUETOOTH TV-2024 MODEL+FREE 360 WALL BRACKET",43999.0,,jumia,,,,,,,,,,,
Nobel 5.1 CH Top Bass-Home Theatre System/USB/Radio -22000W,12790.0,,jumia,,,,,,,,,,,
Istanbul 2 Modern TV Stand With LED Light - White & Black,4539.0,,jumia,,,,,,,,,,,
Nobel 5.1CH Home Theatre Speaker System 80W R.M.S Sub Woofer P.M.P.O 22000W Bluetooth Radio F.M/Aux Ready Super Bass Surround Sound Remote Control & LED Light,13290.0,,jumia,,,,,,,,,,,
"Official Store
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM - Black (1YR WRTY)",5100.0,,jumia,,,,,,,,,,,
"Official Store
Amaze Fridge/Freezer Guard/13A - UnderVoltage & Surge Protection",485.0,,jumia,,,,,,,,,,,
"Official Store
Vitron V51SB- 2.1ch Soundbar System with Bluetooth, Black (1YR WRTY)",4840.0,,jumia,,,,,,,,,,,
"OUT OF STOCK
Official Store
Lyons LYS2403 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY)",2299.0,,jumia,,,,,,,,,,,
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",649.0,,jumia,,,,,,,,,,,
Power King Iron Box And Electric Kettle Support 5 Way Power Extension-White// Blue,540.0,,jumia,,,,,,,,,,,
"Official Store
Amaze TV Guard Voltage Power Protector 13A - Surge Protector",499.0,,jumia,,,,,,,,,,,
"Official Store
Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",399.0,,jumia,,,,,,,,,,,
Digital LCD hair clipper - Long battery life-gold,3700.0,,jumia,,,,,,,,,,,
"Portable Bluetooth AM/FM Radio with MP3 Playback & Solar Panel,Outdoor Portable Design",2699.0,,jumia,,,,,,,,,,,
Ultrapods Max Wireless Bluetooth 5.3 In Ear Transparent Earphones Wireless Headphone Affordable Bluetooth EàrBuds Headset Aírpods,405.0,,jumia,,,,,,,,,,,
"Home Portable FM/AM 8-Band Radio, Bluetooth/USB/TF Music Player, Flashlight (Silver)",2552.0,,jumia,,,,,,,,,,,
MXQ Pro Android 12 TV Box 4GB RAM 32GB ROM 4K Ultra HD 2.4G/5G Dual WiFi Smart Media Player Set Top Box,2217.0,,jumia,,,,,,,,,,,
"JERTECH Bluetooth Speaker for Computer Desktop Subwoofer, Audio Combo Set",3136.0,,jumia,,,,,,,,,,,
"HD Night Vision Driving Glasses with Polarized Lenses, Anti-Glare Wrap-Around Fit Over Prescription Eyewear for Men and Women, Yellow Tint",1173.0,,jumia,,,,,,,,,,,
